고객ID,고객유형,생년,생월,거주지,시,구군,남여구분
25702131, 사업자,,,경기도,경기도, 화성시,여자
25742841, 사업자,1964.0,8.0,경기도,경기도, 가평군,여자
25742683, 사업자,1973.0,12.0,서울특별시,서울특별시, 강남구,여자
25851817, 사업자,,,서울특별시,서울특별시, 강남구,여자
25742687, 사업자,1958.0,6.0,서울특별시,서울특별시, 강남구,여자
25856039, 사업자,,,경상도,부산광역시, 강서구,여자
25869517, 사업자,,,경상도,부산광역시, 강서구,여자
25742711, 사업자,1961.0,1.0,경기도,경기도, 고양시 일산서구,여자
25742708, 사업자,1965.0,8.0,경기도,경기도, 고양시 일산서구,여자
25742710, 사업자,1965.0,8.0,경기도,경기도, 고양시 일산서구,여자
25751808, 사업자,,,경기도,경기도, 광명시,여자
25742697, 사업자,1979.0,5.0,경기도,, 광주시,여자
25742745, 사업자,1955.0,10.0,서울특별시,서울특별시, 광진구,여자
25742895, 사업자,1977.0,7.0,경기도,경기도, 군포시,여자
25856114, 사업자,1977.0,12.0,경기도,경기도, 김포시,여자
25742725, 사업자,,,경상도,경상도, 김해시,여자
25742816, 사업자,1959.0,8.0,경기도,인천광역시, 남동구,여자
25777820, 사업자,,,경기도,경기도, 남양주시,여자
25742940, 사업자,1971.0,3.0,서울특별시,서울특별시, 노원구,여자
25742824, 사업자,1962.0,5.0,충청도,충청도, 당진군,여자
25872371, 사업자,1961.0,1.0,서울특별시,서울특별시, 동대문구,여자
25742691, 사업자,,,서울특별시,서울특별시, 동작구,여자
25742718, 사업자,,,서울특별시,서울특별시, 마포구,여자
25742670, 사업자,1979.0,2.0,전라도,전라도, 무주군,여자
25739412, 사업자,1971.0,8.0,경기도,인천광역시, 부평구,여자
25742701, 사업자,1977.0,7.0,경상도,울산광역시, 북구,여자
25867273, 사업자,1975.0,4.0,경상도,경상도, 사천시,여자
25742694, 사업자,,,경기도,인천광역시, 서구,여자
25712046, 사업자,,,전라도,광주광역시, 서구,여자
25742720, 사업자,1976.0,2.0,서울특별시,서울특별시, 서초구,여자
25742702, 사업자,,,경기도,경기도, 성남시 분당구,여자
25758034, 사업자,1975.0,5.0,경기도,경기도, 성남시 분당구,여자
25752706, 사업자,1963.0,5.0,서울특별시,서울특별시, 성동구,여자
25743453, 사업자,1964.0,10.0,서울특별시,서울특별시, 송파구,여자
25767728, 사업자,,,서울특별시,서울특별시, 송파구,여자
25739665, 사업자,1969.0,9.0,서울특별시,서울특별시, 송파구,여자
25742715, 사업자,,,경기도,경기도, 수원시 영통구,여자
25742723, 사업자,1957.0,10.0,경기도,경기도, 안산시 단원구,여자
25742686, 사업자,1983.0,9.0,경기도,경기도, 안산시 단원구,여자
25742819, 사업자,1970.0,8.0,경기도,경기도, 안양시 동안구,여자
25761693, 사업자,1970.0,9.0,경상도,부산광역시, 연제구,여자
25740441, 사업자,1985.0,10.0,경상도,부산광역시, 연제구,여자
25742698, 사업자,,,경기도,경기도, 용인시 처인구,여자
25743904, 사업자,,,경기도,경기도, 용인시 처인구,여자
25699976, 사업자,,,경상도,울산광역시, 울주군,여자
25742836, 사업자,1933.0,2.0,전라도,전라도, 익산시,여자
25871000, 사업자,,,서울특별시,서울특별시, 종로구,남자
25815899, 사업자,1966.0,6.0,경상도,경상도, 창원시 의창구,여자
25742828, 사업자,1975.0,12.0,경상도,경상도, 창원시 의창구,여자
25742813, 사업자,1961.0,3.0,충청도,충청도, 천안시 동남구,여자
25742705, 사업자,,,충청도,충청도, 청원군,여자
25742676, 사업자,1980.0,11.0,충청도,충청도, 청주시 상당구,여자
25875800, 사업자,1954.0,7.0,경상도,경상도, 함양군,여자
25742695, 사업자,,,경기도,경기도, 화성시,여자
