고객ID,고객유형,생년,생월,거주지,시,구군,남여구분
66758234, 개인,1979.0,12.0,경기도,경기도, 평택시,여자
66755948, 개인,1982.0,7.0,경기도,경기도, 평택시,남자
66756657, 개인,1973.0,4.0,경기도,경기도, 평택시,여자
66423450, 개인,1982.0,11.0,경기도,경기도, 포천시,남자
66423204, 개인,1961.0,11.0,경기도,경기도, 포천시,남자
66165241, 개인,1968.0,7.0,경상도,경상도, 포항시 남구,여자
66751017, 개인,1955.0,1.0,경상도,경상도, 포항시 북구,남자
66758007, 개인,1959.0,8.0,경상도,경상도, 포항시 북구,여자
66756702, 개인,1970.0,9.0,경상도,경상도, 포항시 북구,여자
66757254, 개인,1982.0,5.0,경상도,경상도, 포항시 북구,여자
66355286, 개인,1986.0,1.0,경상도,경상도, 포항시 북구,여자
66757861, 개인,1971.0,9.0,경상도,경상도, 하동군,남자
66758085, 개인,1973.0,10.0,경상도,경상도, 함안군,남자
66423049, 개인,1962.0,10.0,전라도,전라도, 해남군,여자
66190995, 개인,1960.0,3.0,경상도,부산광역시, 해운대구,남자
66757035, 개인,1989.0,1.0,경상도,부산광역시, 해운대구,여자
66423249, 개인,1934.0,12.0,경상도,부산광역시, 해운대구,여자
66755490, 개인,1963.0,1.0,경상도,부산광역시, 해운대구,여자
66423230, 개인,1978.0,7.0,경상도,부산광역시, 해운대구,여자
66758336, 개인,1949.0,3.0,경상도,부산광역시, 해운대구,남자
66758074, 개인,,,충청도,충청도, 홍성군,여자
66755833, 개인,1981.0,10.0,충청도,충청도, 홍성군,여자
66422938, 개인,1948.0,12.0,강원도,강원도, 홍천군,여자
66755125, 개인,1971.0,7.0,경기도,경기도, 화성시,여자
66422513, 개인,1973.0,6.0,경기도,경기도, 화성시,여자
66419239, 개인,1983.0,9.0,경기도,경기도, 화성시,여자
66422449, 개인,1970.0,8.0,경기도,경기도, 가평군,여자
66758615, 개인,1973.0,10.0,서울특별시,서울특별시, 강남구,남자
66758778, 개인,1962.0,10.0,서울특별시,서울특별시, 강남구,여자
66127796, 개인,1978.0,6.0,서울특별시,서울특별시, 강남구,여자
66528773, 개인,1973.0,1.0,서울특별시,서울특별시, 강남구,남자
66758315, 개인,1992.0,1.0,서울특별시,서울특별시, 강남구,여자
66758224, 개인,1964.0,6.0,서울특별시,서울특별시, 강동구,여자
66211709, 개인,1956.0,12.0,서울특별시,서울특별시, 강동구,남자
66135112, 개인,1970.0,3.0,서울특별시,서울특별시, 강동구,여자
66758431, 개인,1959.0,2.0,서울특별시,서울특별시, 강북구,여자
66423714, 개인,1956.0,9.0,서울특별시,서울특별시, 강북구,남자
66754342, 개인,1984.0,2.0,서울특별시,서울특별시, 강북구,남자
66758548, 개인,1964.0,12.0,서울특별시,서울특별시, 강북구,남자
66758162, 개인,1971.0,2.0,서울특별시,서울특별시, 강서구,남자
66590304, 개인,1978.0,10.0,서울특별시,서울특별시, 강서구,남자
66670488, 개인,1987.0,7.0,서울특별시,서울특별시, 강서구,여자
66757967, 개인,1984.0,12.0,경상도,경상도, 거제시,여자
66260467, 개인,1979.0,9.0,경상도,경상도, 거제시,여자
66758899, 개인,1954.0,6.0,경상도,경상도, 경산시,남자
66758851, 개인,1994.0,8.0,경기도,인천광역시, 계양구,남자
66757441, 개인,1966.0,6.0,경기도,인천광역시, 계양구,남자
66758704, 개인,1983.0,9.0,경기도,인천광역시, 계양구,남자
66420963, 개인,1960.0,6.0,경기도,인천광역시, 계양구,여자
66758888, 개인,195.0,3.0,경기도,경기도, 고양시 덕양구,여자
66754426, 개인,1966.0,2.0,경기도,경기도, 고양시 덕양구,여자
66758803, 개인,1980.0,12.0,경기도,경기도, 고양시 덕양구,여자
66755965, 개인,1980.0,12.0,경기도,경기도, 고양시 덕양구,여자
66316787, 개인,1979.0,8.0,경기도,경기도, 고양시 덕양구,남자
66758653, 개인,1952.0,2.0,경기도,경기도, 고양시 덕양구,여자
66388766, 개인,1985.0,9.0,경기도,경기도, 고양시 덕양구,남자
66750147, 개인,1965.0,12.0,경기도,경기도, 고양시 일산동구,여자
66426523, 개인,1970.0,11.0,경기도,경기도, 고양시 일산동구,남자
66758873, 개인,1953.0,9.0,경기도,경기도, 고양시 일산동구,남자
66422805, 개인,1965.0,9.0,경기도,경기도, 고양시 일산서구,여자
66543103, 개인,1978.0,9.0,경기도,경기도, 고양시 일산서구,남자
66144881, 개인,1970.0,4.0,경기도,경기도, 고양시 일산서구,남자
66747865, 개인,1965.0,8.0,경기도,경기도, 고양시 일산서구,남자
66758514, 개인,1961.0,1.0,경기도,경기도, 고양시 일산서구,여자
66758843, 개인,1948.0,10.0,경기도,경기도, 고양시 일산서구,남자
66758546, 개인,1944.0,2.0,서울특별시,서울특별시, 관악구,여자
66369912, 개인,1986.0,2.0,서울특별시,서울특별시, 관악구,여자
66758588, 개인,1938.0,12.0,서울특별시,서울특별시, 관악구,남자
66643114, 개인,197.0,1.0,서울특별시,서울특별시, 관악구,여자
66879582, 개인,1969.0,12.0,서울특별시,서울특별시, 관악구,남자
66758611, 개인,1961.0,5.0,서울특별시,서울특별시, 관악구,남자
66758771, 개인,1972.0,6.0,경기도,경기도, 광명시,남자
66677887, 개인,1969.0,3.0,경기도,경기도, 광명시,여자
66758748, 개인,1982.0,9.0,경기도,경기도, 광명시,남자
66423756, 개인,1989.0,10.0,전라도,광주광역시, 광산구,남자
66758264, 개인,1983.0,3.0,전라도,광주광역시, 광산구,남자
66758918, 개인,1985.0,11.0,전라도,광주광역시, 광산구,여자
66437196, 개인,1977.0,5.0,전라도,광주광역시, 광산구,여자
66420849, 개인,1971.0,1.0,전라도,광주광역시, 광산구,남자
66758580, 개인,1968.0,8.0,전라도,광주광역시, 광산구,남자
